sigla_uf,id_municipio,nome,numero_candidato,sigla_partido,votos,turno
RO,1100080,Costa Marques,15,MDB,140,1
RO,1100080,Costa Marques,30,NOVO,20,1
RO,1100080,Costa Marques,51,PATRIOTA,10,1
RO,1100080,Costa Marques,12,PDT,227,1
RO,1100080,Costa Marques,19,PODE,37,1
RO,1100080,Costa Marques,54,PPL,1,1
RO,1100080,Costa Marques,45,PSDB,411,1
RO,1100080,Costa Marques,17,PSL,3083,1
RO,1100080,Costa Marques,50,PSOL,21,1
RO,1100080,Costa Marques,16,PSTU,1,1
RO,1100080,Costa Marques,13,PT,2136,1
RO,1100080,Costa Marques,18,REDE,10,1
RO,1100080,Costa Marques,17,PSL,3320,2
RO,1100080,Costa Marques,13,PT,2329,2
RO,1100098,Espigão D'Oeste,27,DC,1,1
RO,1100098,Espigão D'Oeste,15,MDB,268,1
RO,1100098,Espigão D'Oeste,30,NOVO,227,1
RO,1100098,Espigão D'Oeste,51,PATRIOTA,122,1
RO,1100098,Espigão D'Oeste,12,PDT,866,1
RO,1100098,Espigão D'Oeste,19,PODE,216,1
RO,1100098,Espigão D'Oeste,54,PPL,1,1
RO,1100098,Espigão D'Oeste,45,PSDB,945,1
RO,1100098,Espigão D'Oeste,17,PSL,11219,1
RO,1100098,Espigão D'Oeste,50,PSOL,77,1
RO,1100098,Espigão D'Oeste,16,PSTU,8,1
RO,1100098,Espigão D'Oeste,13,PT,3650,1
RO,1100098,Espigão D'Oeste,18,REDE,78,1
RO,1100098,Espigão D'Oeste,17,PSL,12536,2
RO,1100098,Espigão D'Oeste,13,PT,4593,2
RO,1100106,Guajará-Mirim,27,DC,5,1
RO,1100106,Guajará-Mirim,15,MDB,340,1
RO,1100106,Guajará-Mirim,30,NOVO,242,1
RO,1100106,Guajará-Mirim,51,PATRIOTA,166,1
RO,1100106,Guajará-Mirim,12,PDT,1142,1
RO,1100106,Guajará-Mirim,19,PODE,95,1
RO,1100106,Guajará-Mirim,54,PPL,4,1
RO,1100106,Guajará-Mirim,45,PSDB,963,1
RO,1100106,Guajará-Mirim,17,PSL,12272,1
RO,1100106,Guajará-Mirim,50,PSOL,67,1
RO,1100106,Guajará-Mirim,16,PSTU,8,1
RO,1100106,Guajará-Mirim,13,PT,4618,1
RO,1100106,Guajará-Mirim,18,REDE,283,1
RO,1100106,Guajará-Mirim,17,PSL,12838,2
RO,1100106,Guajará-Mirim,13,PT,5844,2
RO,1100114,Jaru,27,DC,5,1
RO,1100114,Jaru,15,MDB,352,1
RO,1100114,Jaru,30,NOVO,428,1
RO,1100114,Jaru,51,PATRIOTA,216,1
RO,1100114,Jaru,12,PDT,1061,1
RO,1100114,Jaru,19,PODE,308,1
RO,1100114,Jaru,54,PPL,1,1
RO,1100114,Jaru,45,PSDB,1486,1
RO,1100114,Jaru,17,PSL,18041,1
RO,1100114,Jaru,50,PSOL,121,1
RO,1100114,Jaru,16,PSTU,13,1
RO,1100114,Jaru,13,PT,4616,1
RO,1100114,Jaru,18,REDE,114,1
RO,1100114,Jaru,17,PSL,19879,2
RO,1100114,Jaru,13,PT,5627,2
RO,1100122,Ji-Paraná,27,DC,13,1
RO,1100122,Ji-Paraná,15,MDB,704,1
RO,1100122,Ji-Paraná,30,NOVO,1372,1
RO,1100122,Ji-Paraná,51,PATRIOTA,509,1
RO,1100122,Ji-Paraná,12,PDT,3642,1
RO,1100122,Ji-Paraná,19,PODE,488,1
RO,1100122,Ji-Paraná,54,PPL,19,1
RO,1100122,Ji-Paraná,45,PSDB,2395,1
RO,1100122,Ji-Paraná,17,PSL,44555,1
RO,1100122,Ji-Paraná,50,PSOL,306,1
RO,1100122,Ji-Paraná,16,PSTU,19,1
RO,1100122,Ji-Paraná,13,PT,10045,1
RO,1100122,Ji-Paraná,18,REDE,463,1
RO,1100122,Ji-Paraná,17,PSL,48520,2
RO,1100122,Ji-Paraná,13,PT,14174,2
RO,1100130,Machadinho D'Oeste,27,DC,8,1
RO,1100130,Machadinho D'Oeste,15,MDB,272,1
RO,1100130,Machadinho D'Oeste,30,NOVO,86,1
RO,1100130,Machadinho D'Oeste,51,PATRIOTA,112,1
RO,1100130,Machadinho D'Oeste,12,PDT,997,1
RO,1100130,Machadinho D'Oeste,19,PODE,233,1
RO,1100130,Machadinho D'Oeste,54,PPL,1,1
RO,1100130,Machadinho D'Oeste,45,PSDB,984,1
RO,1100130,Machadinho D'Oeste,17,PSL,8551,1
RO,1100130,Machadinho D'Oeste,50,PSOL,76,1
RO,1100130,Machadinho D'Oeste,16,PSTU,7,1
RO,1100130,Machadinho D'Oeste,13,PT,4166,1
RO,1100130,Machadinho D'Oeste,18,REDE,62,1
RO,1100130,Machadinho D'Oeste,17,PSL,9513,2
RO,1100130,Machadinho D'Oeste,13,PT,4633,2
RO,1100148,Nova Brasilândia D'Oeste,27,DC,1,1
RO,1100148,Nova Brasilândia D'Oeste,15,MDB,143,1
RO,1100148,Nova Brasilândia D'Oeste,30,NOVO,98,1
RO,1100148,Nova Brasilândia D'Oeste,51,PATRIOTA,51,1
RO,1100148,Nova Brasilândia D'Oeste,12,PDT,520,1
RO,1100148,Nova Brasilândia D'Oeste,19,PODE,172,1
RO,1100148,Nova Brasilândia D'Oeste,54,PPL,2,1
RO,1100148,Nova Brasilândia D'Oeste,45,PSDB,609,1
RO,1100148,Nova Brasilândia D'Oeste,17,PSL,5785,1
RO,1100148,Nova Brasilândia D'Oeste,50,PSOL,52,1
RO,1100148,Nova Brasilândia D'Oeste,16,PSTU,3,1
RO,1100148,Nova Brasilândia D'Oeste,13,PT,2317,1
RO,1100148,Nova Brasilândia D'Oeste,18,REDE,44,1
RO,1100148,Nova Brasilândia D'Oeste,17,PSL,6723,2
RO,1100148,Nova Brasilândia D'Oeste,13,PT,2790,2
RO,1100155,Ouro Preto do Oeste,27,DC,5,1
RO,1100155,Ouro Preto do Oeste,15,MDB,228,1
RO,1100155,Ouro Preto do Oeste,30,NOVO,454,1
RO,1100155,Ouro Preto do Oeste,51,PATRIOTA,130,1
RO,1100155,Ouro Preto do Oeste,12,PDT,920,1
RO,1100155,Ouro Preto do Oeste,19,PODE,209,1
RO,1100155,Ouro Preto do Oeste,54,PPL,3,1
RO,1100155,Ouro Preto do Oeste,45,PSDB,810,1
RO,1100155,Ouro Preto do Oeste,17,PSL,12774,1
RO,1100155,Ouro Preto do Oeste,50,PSOL,143,1
RO,1100155,Ouro Preto do Oeste,16,PSTU,13,1
RO,1100155,Ouro Preto do Oeste,13,PT,3681,1
RO,1100155,Ouro Preto do Oeste,18,REDE,115,1
RO,1100155,Ouro Preto do Oeste,17,PSL,13779,2
RO,1100155,Ouro Preto do Oeste,13,PT,4696,2
RO,1100189,Pimenta Bueno,27,DC,4,1
RO,1100189,Pimenta Bueno,15,MDB,309,1
RO,1100189,Pimenta Bueno,30,NOVO,467,1
RO,1100189,Pimenta Bueno,51,PATRIOTA,169,1
RO,1100189,Pimenta Bueno,12,PDT,790,1
RO,1100189,Pimenta Bueno,19,PODE,208,1
RO,1100189,Pimenta Bueno,54,PPL,6,1
RO,1100189,Pimenta Bueno,45,PSDB,875,1
RO,1100189,Pimenta Bueno,17,PSL,13591,1
RO,1100189,Pimenta Bueno,50,PSOL,98,1
RO,1100189,Pimenta Bueno,16,PSTU,3,1
RO,1100189,Pimenta Bueno,13,PT,3381,1
RO,1100189,Pimenta Bueno,18,REDE,120,1
RO,1100189,Pimenta Bueno,17,PSL,15045,2
RO,1100189,Pimenta Bueno,13,PT,4284,2
RO,1100205,Porto Velho,27,DC,120,1
RO,1100205,Porto Velho,15,MDB,4165,1
RO,1100205,Porto Velho,30,NOVO,7038,1
RO,1100205,Porto Velho,51,PATRIOTA,5739,1
RO,1100205,Porto Velho,12,PDT,22335,1
RO,1100205,Porto Velho,19,PODE,1914,1
RO,1100205,Porto Velho,54,PPL,59,1
RO,1100205,Porto Velho,45,PSDB,7828,1
RO,1100205,Porto Velho,17,PSL,147671,1
RO,1100205,Porto Velho,50,PSOL,2237,1
RO,1100205,Porto Velho,16,PSTU,238,1
RO,1100205,Porto Velho,13,PT,52354,1
RO,1100205,Porto Velho,18,REDE,3862,1
RO,1100205,Porto Velho,17,PSL,166145,2
RO,1100205,Porto Velho,13,PT,74847,2
RO,1100254,Presidente Médici,27,DC,5,1
RO,1100254,Presidente Médici,15,MDB,152,1
RO,1100254,Presidente Médici,30,NOVO,151,1
RO,1100254,Presidente Médici,51,PATRIOTA,46,1
RO,1100254,Presidente Médici,12,PDT,569,1
RO,1100254,Presidente Médici,19,PODE,162,1
RO,1100254,Presidente Médici,54,PPL,0,1
RO,1100254,Presidente Médici,45,PSDB,525,1
RO,1100254,Presidente Médici,17,PSL,7054,1
RO,1100254,Presidente Médici,50,PSOL,61,1
RO,1100254,Presidente Médici,16,PSTU,4,1
RO,1100254,Presidente Médici,13,PT,2383,1
RO,1100254,Presidente Médici,18,REDE,70,1
RO,1100254,Presidente Médici,17,PSL,7768,2
RO,1100254,Presidente Médici,13,PT,2978,2
RO,1100262,Rio Crespo,27,DC,1,1
RO,1100262,Rio Crespo,15,MDB,23,1
RO,1100262,Rio Crespo,30,NOVO,7,1
RO,1100262,Rio Crespo,51,PATRIOTA,4,1
RO,1100262,Rio Crespo,12,PDT,101,1
RO,1100262,Rio Crespo,19,PODE,32,1
RO,1100262,Rio Crespo,54,PPL,0,1
RO,1100262,Rio Crespo,45,PSDB,101,1
RO,1100262,Rio Crespo,17,PSL,1437,1
RO,1100262,Rio Crespo,50,PSOL,12,1
RO,1100262,Rio Crespo,16,PSTU,0,1
RO,1100262,Rio Crespo,13,PT,479,1
RO,1100262,Rio Crespo,18,REDE,5,1
RO,1100262,Rio Crespo,17,PSL,1446,2
RO,1100262,Rio Crespo,13,PT,539,2
RO,1100288,Rolim de Moura,27,DC,5,1
RO,1100288,Rolim de Moura,15,MDB,420,1
RO,1100288,Rolim de Moura,30,NOVO,694,1
RO,1100288,Rolim de Moura,51,PATRIOTA,200,1
RO,1100288,Rolim de Moura,12,PDT,1502,1
RO,1100288,Rolim de Moura,19,PODE,418,1
RO,1100288,Rolim de Moura,54,PPL,2,1
RO,1100288,Rolim de Moura,45,PSDB,1254,1
RO,1100288,Rolim de Moura,17,PSL,19082,1
RO,1100288,Rolim de Moura,50,PSOL,157,1
RO,1100288,Rolim de Moura,16,PSTU,12,1
RO,1100288,Rolim de Moura,13,PT,5094,1
RO,1100288,Rolim de Moura,18,REDE,196,1
RO,1100288,Rolim de Moura,17,PSL,21429,2
RO,1100288,Rolim de Moura,13,PT,6779,2
RO,1100296,Santa Luzia D'Oeste,27,DC,0,1
RO,1100296,Santa Luzia D'Oeste,15,MDB,69,1
RO,1100296,Santa Luzia D'Oeste,30,NOVO,123,1
RO,1100296,Santa Luzia D'Oeste,51,PATRIOTA,30,1
RO,1100296,Santa Luzia D'Oeste,12,PDT,268,1
RO,1100296,Santa Luzia D'Oeste,19,PODE,73,1
RO,1100296,Santa Luzia D'Oeste,54,PPL,3,1
RO,1100296,Santa Luzia D'Oeste,45,PSDB,269,1
RO,1100296,Santa Luzia D'Oeste,17,PSL,2701,1
RO,1100296,Santa Luzia D'Oeste,50,PSOL,21,1
RO,1100296,Santa Luzia D'Oeste,16,PSTU,1,1
RO,1100296,Santa Luzia D'Oeste,13,PT,1398,1
RO,1100296,Santa Luzia D'Oeste,18,REDE,22,1
RO,1100296,Santa Luzia D'Oeste,17,PSL,3053,2
RO,1100296,Santa Luzia D'Oeste,13,PT,1632,2
RO,1100304,Vilhena,27,DC,6,1
RO,1100304,Vilhena,15,MDB,460,1
RO,1100304,Vilhena,30,NOVO,776,1
RO,1100304,Vilhena,51,PATRIOTA,310,1
RO,1100304,Vilhena,12,PDT,2193,1
RO,1100304,Vilhena,19,PODE,544,1
RO,1100304,Vilhena,54,PPL,5,1
RO,1100304,Vilhena,45,PSDB,1590,1
RO,1100304,Vilhena,17,PSL,32982,1
RO,1100304,Vilhena,50,PSOL,151,1
RO,1100304,Vilhena,16,PSTU,18,1
RO,1100304,Vilhena,13,PT,5473,1
RO,1100304,Vilhena,18,REDE,310,1
RO,1100304,Vilhena,17,PSL,36531,2
RO,1100304,Vilhena,13,PT,8396,2
RO,1100320,São Miguel do Guaporé,27,DC,2,1
RO,1100320,São Miguel do Guaporé,15,MDB,214,1
RO,1100320,São Miguel do Guaporé,30,NOVO,82,1
RO,1100320,São Miguel do Guaporé,51,PATRIOTA,103,1
RO,1100320,São Miguel do Guaporé,12,PDT,657,1
RO,1100320,São Miguel do Guaporé,19,PODE,163,1
RO,1100320,São Miguel do Guaporé,54,PPL,1,1
RO,1100320,São Miguel do Guaporé,45,PSDB,793,1
RO,1100320,São Miguel do Guaporé,17,PSL,6345,1
RO,1100320,São Miguel do Guaporé,50,PSOL,50,1
RO,1100320,São Miguel do Guaporé,16,PSTU,6,1
RO,1100320,São Miguel do Guaporé,13,PT,3022,1
RO,1100320,São Miguel do Guaporé,18,REDE,53,1
RO,1100320,São Miguel do Guaporé,17,PSL,7386,2
RO,1100320,São Miguel do Guaporé,13,PT,3616,2
RO,1100338,Nova Mamoré,27,DC,3,1
